project_name,builder_name,locality,area,price_min,price_max,price_per_sft,possession_date,construction_progress,land_area_acres,total_units,unit_types,complaints_on_project,complaints_on_builder,land_litigations,property_title_summary,google_reviews_score,distance_from_nearest_office_hub,builder_reliability,density,timeline_reliability,commute_score,latitude,longitude,start_date,RERA_registration_number
Prestige Silver Oak,Prestige Estates,Whitefield,Bengaluru East,19999902,54776118,17889,05-04-2025,92,36.43,2258,"2BHK, 3BHK, 4BHK",0,2,0,Clear title with no encumbrances.,4.6,10.74,0.9,61,1.0,0.62,12.9329,77.7463,04-11-2021,PRM/KA/RERA/1251/446/PR/161386/95581
SNN Raj Etternia,SNN Estates,Harlur,Bengaluru East,9071491,39428103,10439,24-11-2025,95,3.93,279,"2.5BHK, 3BHK",0,45,0,Clear title with no encumbrances.,4.1,11.23,0.82,70,0.8,0.79,12.9027,77.6851,09-08-2021,PRM/KA/RERA/1251/446/PR/680473/84550
NVT Symphony of Orchards,NVT Quality Lifestyle,Sarjapur,Bengaluru East,15250680,31474140,15690,06-11-2027,20,25.26,2020,"2.5BHK, 2BHK, 3.5BHK, 4BHK",0,0,0,Clear title with no encumbrances.,4.8,10.04,0.97,79,0.6,0.77,12.922,77.6955,03-09-2023,PRM/KA/RERA/1251/446/PR/683134/27618
Sobha Habitech,Sobha Limited,Whitefield,Bengaluru East,10881585,44506319,12727,22-11-2025,14,5.04,423,"2BHK, 4BHK",0,0,0,Clear title with no encumbrances.,4.1,10.92,0.77,83,0.9,0.77,12.8813,77.6635,18-08-2021,PRM/KA/RERA/1251/446/PR/214046/97070
Prestige Ferns Residency,Prestige Estates,Harlur,Bengaluru East,14670448,23233080,14612,08-11-2028,59,15.37,1291,"1BHK, 2.5BHK",0,45,0,Clear title with no encumbrances.,4.0,5.54,0.92,83,0.4,0.65,12.9377,77.7337,12-12-2023,PRM/KA/RERA/1251/446/PR/111989/91664
Godrej Lakeside Orchard,Godrej Properties,Kodathi Village,Bengaluru East,12313107,48340346,14711,08-04-2027,23,31.51,3056,"2.5BHK, 3.5BHK, 3BHK",1,0,0,Clear title with no encumbrances.,4.1,13.8,0.83,96,0.9,0.81,12.9109,77.6734,13-06-2024,PRM/KA/RERA/1251/446/PR/597560/40073
Shriram Summit,Shriram Properties,Electronic City,Bengaluru South,12258763,30824987,11489,16-12-2023,100,26.8,2492,"1BHK, 3BHK",0,2,0,Clear title with no encumbrances.,4.3,14.8,0.9,92,1.0,0.79,12.9397,77.6727,14-09-2018,PRM/KA/RERA/1251/446/PR/627843/70086
Purva Promenade,Puravankara,Hennur,Bengaluru North,14845110,19971000,13314,12-11-2026,79,14.64,1259,"1BHK, 2BHK",0,0,0,Clear title with no encumbrances.,4.5,13.76,0.83,85,1.0,0.8,12.9069,77.6914,18-10-2021,PRM/KA/RERA/1251/446/PR/709447/39173
Purva Sunshine,Puravankara,Sarjapur,Bengaluru East,11270030,25169370,10910,27-07-2027,73,25.34,2103,"2.5BHK, 3.5BHK, 4BHK",0,2,0,Clear title with no encumbrances.,3.9,6.8,0.91,82,0.8,0.81,12.9529,77.663,02-09-2023,PRM/KA/RERA/1251/446/PR/348426/69746
DSR Waterscape,DSR Infraprojects,Horamavu,Bengaluru East,10422082,16833976,11017,03-06-2024,100,35.09,2456,"2BHK, 3.5BHK, 3BHK, 4BHK",0,2,0,Clear title with no encumbrances.,4.4,4.55,0.8,69,0.8,0.9,12.9757,77.7055,05-11-2019,PRM/KA/RERA/1251/446/PR/664478/44669
